;Faconnage;Rainage;Massicot;Template
NAI-R-GOU-BIS;F000;R000;M010;T010
NAI-R-GOU-FRA;F000;R000;M010;T015
NAI-R-GOU-OEU;F000;R000;M018;T007
NAI-R-GOU-POM;F000;R000;M018;T002
NAI-R-GOU-SUS;F000;R000;M010;T010
