;Faconnage;Rainage;Massicot;Template
NAI-R-DIV-BIB;F000;R000;M018;T002
NAI-R-DIV-BOD;F000;R000;M018;T002
NAI-R-DIV-OIS;F000;R000;M018;T002
NAI-R-DIV-PET;F000;R000;M018;T002
NAI-R-DIV-VOI;F000;R000;M010;T010
