;Faconnage;Rainage;Massicot;Template
NAI-R-NAT-CHA;F000;R000;M010;T010
NAI-R-NAT-CIG;F000;R000;M018;T002
NAI-R-NAT-KOA;F000;R000;M010;T010
NAI-R-NAT-OIS;F000;R000;M018;T002
NAI-R-NAT-TER;F000;R000;M018;T002
