;Faconnage;Rainage;Massicot;Template
NAI-R-VIN-AMI;F000;R000;M010;T010
NAI-R-VIN-ELE;F000;R000;M018;T007
NAI-R-VIN-HOC;F000;R000;M010;T015
NAI-R-VIN-JOU;F001;R001;M010;T001
NAI-R-VIN-MAC;F000;R000;M010;T010
