;Faconnage;Rainage;Massicot;Template
NAI-R-CIN-BEB;F000;R000;M018;T007
NAI-R-CIN-BOB;F000;R000;M010;T004
NAI-R-CIN-CHA;F000;R000;M018;T007
NAI-R-CIN-POP;F000;R000;M010;T010
NAI-R-CIN-TIC;F000;R000;M010;T015
