;Faconnage;Rainage;Massicot;Template
MAR-M-GOU-BRU;F015;R002;M006;T009
MAR-M-GOU-CHO;F000;R000;M018;T002
MAR-M-GOU-GLA;F000;R000;M010;T004
MAR-M-GOU-PIQ;F000;R000;M010;T015
MAR-M-GOU-SMO;F000;R000;M010;T010
MAR-M-GOU-DES;F000;R000;M018;T007
MAR-M-GOU-BIS;F001;R001;M010;T006
MAR-M-GOU-CAN;F000;R000;M010;T015
MAR-M-GOU-CIT;F000;R000;M010;T004
MAR-M-GOU-GAT;F000;R000;M018;T002
