;Faconnage;Rainage;Massicot;Template
MAR-M-VOY-AFR;F000;R000;M018;T002
MAR-M-VOY-AUR;F000;R000;M010;T010
MAR-M-VOY-CIT;F001;R001;M006;T014
MAR-M-VOY-HAW;F000;R000;M018;T007
MAR-M-VOY-TRA;F000;R000;M010;T015
MAR-M-VOY-ASI;F000;R000;M010;T004
MAR-M-VOY-CAR;F000;R000;M010;T010
MAR-M-VOY-ORI;F000;R000;M010;T015
MAR-M-VOY-PAS;F001;R001;M010;T001
MAR-M-VOY-SKY;F000;R000;M018;T007
