;Faconnage;Rainage;Massicot;Template
MAR-M-VIN-APP;F001;R001;M010;T001
MAR-M-VIN-CAD;F000;R000;M018;T007
MAR-M-VIN-CAS;F000;R000;M010;T015
MAR-M-VIN-FLO;F000;R000;M010;T004
MAR-M-VIN-RET;F000;R000;M010;T010
MAR-M-VIN-ART;F000;R000;M010;T004
MAR-M-VIN-CIR;F000;R000;M018;T007
MAR-M-VIN-GRO;F000;R000;M010;T015
MAR-M-VIN-MIN;F000;R000;M018;T002
MAR-M-VIN-ROC;F000;R000;M010;T010
