;Faconnage;Rainage;Massicot;Template
MAR-M-NAT-ABS;F001;R001;M010;T001
MAR-M-NAT-DOR;F000;R000;M018;T002
MAR-M-NAT-LOG;F000;R000;M010;T010
MAR-M-NAT-MER;F000;R000;M010;T004
MAR-M-NAT-PAM;F000;R000;M018;T007
MAR-M-NAT-COL;F000;R000;M018;T007
MAR-M-NAT-COU;F000;R000;M010;T010
MAR-M-NAT-GRA;F000;R000;M010;T004
MAR-M-NAT-OMB;F000;R000;M010;T015
MAR-M-NAT-PEI;F000;R000;M010;T015
