;Faconnage;Rainage;Massicot;Template
MAR-M-CLA-BAL;F000;R000;M010;T010
MAR-M-CLA-CHA;F000;R000;M018;T007
MAR-M-CLA-CON;F000;R000;M010;T004
MAR-M-CLA-FLE;F015;R002;M006;T009
MAR-M-CLA-MAR;F000;R000;M018;T002
MAR-M-CLA-SCE;F000;R000;M010;T004
MAR-M-CLA-RUB;F001;R001;M006;T014
MAR-M-CLA-COL;F000;R000;M018;T007
MAR-M-CLA-FRI;F000;R000;M018;T002
MAR-M-CLA-GRA;F000;R000;M010;T015
