;Faconnage;Rainage;Massicot;Template
ANN-M-GOU-BAR;F000;R000;M010;T004
ANN-M-GOU-BIE;F000;R000;M018;T007
ANN-M-GOU-FRO;F020;R001;M006;T009
ANN-M-GOU-ITA;F000;R000;M018;T002
ANN-M-GOU-PAT;F000;R000;M010;T010
