;Faconnage;Rainage;Massicot;Template
ANN-M-NAT-AUT;F000;R000;M018;T002
ANN-M-NAT-COT;F000;R000;M010;T004
ANN-M-NAT-FLE;F001;R001;M010;T006
ANN-M-NAT-MON;F000;R000;M010;T015
ANN-M-NAT-OMB;F000;R000;M010;T010
