;Faconnage;Rainage;Massicot;Template
ANN-M-VIN-JUK;F000;R000;M018;T002
ANN-M-VIN-OLD;F000;R000;M010;T004
ANN-M-VIN-ORN;F000;R000;M010;T010
ANN-M-VIN-PEI;F001;R001;M010;T006
ANN-M-VIN-PIN;F000;R000;M010;T015
