;Faconnage;Rainage;Massicot;Template
NAI-F-NAT-COU;F000;R000;M010;T010
NAI-F-NAT-FAN;F000;R000;M010;T010
NAI-F-NAT-ICO;F000;R000;M018;T002
NAI-F-NAT-SEP;F001;R001;M006;T014
NAI-F-NAT-TAB;F000;R000;M018;T002
