;Faconnage;Rainage;Massicot;Template
NAI-F-CIN-BOB;F000;R000;M010;T010
NAI-F-CIN-CLA;F000;R000;M018;T007
NAI-F-CIN-ETO;F000;R000;M010;T010
NAI-F-CIN-PEL;F002;R001;M006;T008
NAI-F-CIN-PRO;F000;R000;M010;T003
