;Faconnage;Rainage;Massicot;Template
NAI-F-CLA-COE;F000;R000;M010;T010
NAI-F-CLA-FOR;F000;R000;M010;T010
NAI-F-CLA-ICO;F000;R000;M018;T007
NAI-F-CLA-NOE;F020;R001;M006;T009
NAI-F-CLA-TAB;F000;R000;M018;T002
