;Faconnage;Rainage;Massicot;Template
NAI-F-VOY-ANC;F001;R001;M006;T014
NAI-F-VOY-ODY;F000;R000;M018;T002
NAI-F-VOY-POS;F000;R000;M018;T007
NAI-F-VOY-TRA;F000;R000;M010;T010
NAI-F-VOY-VAL;F000;R000;M010;T010
