;Faconnage;Rainage;Massicot;Template
NAI-F-GOU-BON;F000;R000;M010;T010
NAI-F-GOU-CHO;F002;R001;M006;T008
NAI-F-GOU-CAF;F001;R001;M010;T001
NAI-F-GOU-FRU;F002;R001;M006;T008
NAI-F-GOU-MAC;F020;R001;M006;T009
