;Faconnage;Rainage;Massicot;Massicot;Template
MAR-F-VOY-AIR;F000;R000;M010;M010;T015
MAR-F-VOY-PAS;F001;R001;M010;M010;T001
MAR-F-VOY-POS;F000;R000;M018;M018;T007
MAR-F-VOY-TRA;F000;R000;M010;M010;T004
MAR-F-VOY-VAL;F015;R002;M006;M006;T009
MAR-F-VOY-BOU;F000;R000;M010;M010;T015
MAR-F-VOY-MIL;F000;R000;M010;M010;T004
MAR-F-VOY-PAR;F000;R000;M018;M018;T007
MAR-F-VOY-SAK;F000;R000;M010;M010;T010
MAR-F-VOY-SOL;F000;R000;M018;M018;T002
