;Faconnage;Rainage;Massicot;Template
MAR-F-GOU-CHO;F000;R000;M010;T004
MAR-F-GOU-CUP;F002;R001;M006;T008
MAR-F-GOU-GAT;F000;R000;M010;T004
MAR-F-GOU-MAC;F000;R000;M010;T004
MAR-F-GOU-SUC;F000;R000;M010;T010
MAR-F-GOU-BRE;F000;R000;M018;T002
MAR-F-GOU-CER;F000;R000;M018;T007
MAR-F-GOU-PIE;F001;R001;M006;T014
MAR-F-GOU-SPA;F000;R000;M018;T002
MAR-F-GOU-SUS;F000;R000;M018;T007
