;Faconnage;Rainage;Massicot;Template
MAR-F-NAT-COU;F015;R002;M006;T009
MAR-F-NAT-FLE;F020;R001;M006;T009
MAR-F-NAT-LAM;F000;R000;M018;T002
MAR-F-NAT-TAB;F000;R000;M010;T010
MAR-F-NAT-TAN;F002;R001;M006;T008
MAR-F-NAT-BLA;F000;R000;M018;T002
MAR-F-NAT-BOU;F000;R000;M018;T007
MAR-F-NAT-DOR;F000;R000;M010;T004
MAR-F-NAT-MER;F000;R000;M010;T004
MAR-F-NAT-OMB;F000;R000;M010;T015
