;Faconnage;Rainage;Massicot;Template
MAR-R-VIN-CAL;F000;R000;M018;T002
MAR-R-VIN-FEU;F000;R000;M018;T002
MAR-R-VIN-PHO;F000;R000;M010;T004
MAR-R-VIN-POR;F000;R000;M018;T002
MAR-R-VIN-TER;F000;R000;M018;T002
MAR-R-VIN-ART;F000;R000;M010;T010
MAR-R-VIN-BAR;F000;R000;M018;T007
MAR-R-VIN-DEN;F020;R001;M006;T009
MAR-R-VIN-GAZ;F001;R001;M010;T006
MAR-R-VIN-VOI;F000;R000;M010;T015
