;Faconnage;Rainage;Massicot;Template
MAR-R-GOU-ANA;F000;R000;M018;T002
MAR-R-GOU-CUV;F000;R000;M018;T002
MAR-R-GOU-DON;F000;R000;M010;T010
MAR-R-GOU-GAT;F001;R001;M006;T014
MAR-R-GOU-GLA;F000;R000;M018;T002
MAR-R-GOU-CIT;F000;R000;M018;T007
MAR-R-GOU-BOI;F020;R001;M008;T005
MAR-R-GOU-CHA;F015;R002;M006;T009
MAR-R-GOU-CHM;F000;R000;M010;T015
MAR-R-GOU-CUP;F000;R000;M010;T004
