;Faconnage;Rainage;Massicot;Template
MAR-R-CLA-BLE;F000;R000;M010;T010
MAR-R-CLA-BRI;F000;R000;M018;T002
MAR-R-CLA-COU;F000;R000;M010;T010
MAR-R-CLA-INI;F000;R000;M010;T010
MAR-R-CLA-NOI;F000;R000;M018;T002
MAR-R-CLA-DEN;F001;R001;M006;T014
MAR-R-CLA-GRA;F000;R000;M018;T007
MAR-R-CLA-ORN;F000;R000;M010;T015
MAR-R-CLA-TYP;F020;R001;M008;T005
MAR-R-CLA-VER;F000;R000;M010;T004
