;Faconnage;Rainage;Massicot;Template
MAR-R-CIN-CAM;F000;R000;M018;T002
MAR-R-CIN-CLA;F000;R000;M018;T007
MAR-R-CIN-MRS;F000;R000;M018;T002
MAR-R-CIN-PHO;F000;R000;M010;T015
MAR-R-CIN-TIC;F000;R000;M010;T015
MAR-R-CIN-AWA;F020;R001;M006;T009
MAR-R-CIN-FAU;F000;R000;M010;T004
MAR-R-CIN-GEN;F000;R000;M010;T010
MAR-R-CIN-POP;F000;R000;M010;T004
MAR-R-CIN-THE;F001;R001;M010;T006
